trip_id,stop_id,stop_sequence
1012159,160843,20
1012159,296865,21
1012159,634877,22
1012159,420541,23
1012159,602070,24
1012159,215926,25
1012159,236565,26
1012159,277163,27
1012159,412700,28
1012159,399768,29
1012159,210872,30
1012159,511257,31
1012159,678009,32
1012159,401447,33
1012159,63941,34
1012867,546683,0
1012867,499391,1
1012867,621041,2
1012867,247790,3
1012867,533739,4
1012867,582513,5
1012867,621945,6
1012867,212681,7
1012867,194070,8
1012867,215926,9
1012867,667084,10
1012867,112872,11
1012867,312521,12
1012867,139902,13
1012867,97530,14
1012867,335463,15
1012867,409875,16
1012867,524375,17
1012867,218138,18
1012867,637441,19
1012867,539010,20
1012867,275114,21
1012867,313272,22
1012867,286826,23
1012867,50068,24
1012867,264692,25
1012867,607303,26
1012867,592404,27
1012867,16975,28
1012867,417110,29
1012867,66008,30
1012867,193969,31
1012867,439967,32
1012867,26820,33
1012867,122366,34
1013894,122366,0
1013894,558336,1
1013894,321643,2
1013894,82633,3
1013894,208066,4
1013894,418217,5
1013894,652613,6
1013894,444060,7
1013894,174853,8
1013894,38349,9
1013894,529410,10
1013894,396307,11
1013894,29808,12
1013894,426778,13
1013894,535014,14
1013894,18649,15
1013894,361570,16
1013894,386320,17
1013894,294579,18
1013894,583705,19
1013894,160843,20
1013894,296865,21
1013894,634877,22
1013894,420541,23
1013894,602070,24
1013894,215926,25
1013894,236565,26
1013894,277163,27
1013894,412700,28
1013894,399768,29
1013894,210872,30
1013894,511257,31
1013894,678009,32
1013894,401447,33
1013894,63941,34
1018213,122366,0
1018213,558336,1
1018213,321643,2
1018213,82633,3
1018213,208066,4
1018213,418217,5
1018213,652613,6
1018213,444060,7
1018213,174853,8
1018213,38349,9
1018213,529410,10
1018213,396307,11
1018213,29808,12
1018213,426778,13
1018213,535014,14
1018213,18649,15
1018213,361570,16
1018213,386320,17
1018213,294579,18
1018213,583705,19
1018213,160843,20
1018213,296865,21
1018213,634877,22
1018213,420541,23
1018213,602070,24
1018213,215926,25
1018213,236565,26
1018213,277163,27
1018213,412700,28
1018213,399768,29
1018213,210872,30
1018213,511257,31
1018213,678009,32
1018213,401447,33
1018213,63941,34
1018931,122366,0
1018931,558336,1
1018931,321643,2
1018931,82633,3
1018931,208066,4
1018931,418217,5
1018931,652613,6
1018931,444060,7
1018931,174853,8
1018931,38349,9
1018931,529410,10
1018931,396307,11
1018931,29808,12
1018931,426778,13
1018931,535014,14
1018931,18649,15
1018931,361570,16
1018931,386320,17
1018931,294579,18
1018931,583705,19
1018931,160843,20
1018931,296865,21
1018931,634877,22
1018931,420541,23
1018931,602070,24
1018931,215926,25
1018931,236565,26
1018931,277163,27
1018931,412700,28
1018931,399768,29
1018931,210872,30
1018931,511257,31
1018931,678009,32
1018931,401447,33
1018931,63941,34
1021170,122366,0
1021170,558336,1
1021170,321643,2
1021170,82633,3
1021170,208066,4
1021170,418217,5
1021170,652613,6
1021170,444060,7
1021170,174853,8
1021170,38349,9
1021170,529410,10
1021170,396307,11
1021170,29808,12
1021170,426778,13
1021170,535014,14
1021170,18649,15
1021170,361570,16
1021170,386320,17
1021170,294579,18
1021170,583705,19
1021170,160843,20
1021170,296865,21
1021170,634877,22
1021170,420541,23
1021170,602070,24
1021170,215926,25
1021170,236565,26
1021170,277163,27
1021170,412700,28
1021170,399768,29
1021170,210872,30
1021170,511257,31
1021170,678009,32
1021170,401447,33
1021170,63941,34
1025803,122366,0
1025803,558336,1
1025803,321643,2
1025803,82633,3
1025803,208066,4
1025803,418217,5
1025803,652613,6
1025803,444060,7
1025803,174853,8
1025803,38349,9
1025803,529410,10
1025803,396307,11
1025803,29808,12
1025803,426778,13
1025803,535014,14
1025803,18649,15
1025803,361570,16
1025803,386320,17
1025803,294579,18
1025803,583705,19
1025803,160843,20
1025803,296865,21
1025803,634877,22
1025803,420541,23
1025803,602070,24
1025803,215926,25
1025803,236565,26
1025803,277163,27
1025803,412700,28
1025803,399768,29
1025803,210872,30
1025803,511257,31
1025803,678009,32
1025803,401447,33
1025803,63941,34
1030425,122366,0
1030425,558336,1
1030425,321643,2
1030425,82633,3
1030425,208066,4
1030425,418217,5
1030425,652613,6
1030425,444060,7
1030425,174853,8
1030425,38349,9
1030425,529410,10
1030425,396307,11
1030425,29808,12
1030425,426778,13
1030425,535014,14
1030425,18649,15
1030425,361570,16
1030425,386320,17
1030425,294579,18
1030425,583705,19
1030425,160843,20
1030425,296865,21
1030425,634877,22
1030425,420541,23
1030425,602070,24
1030425,215926,25
1030425,236565,26
1030425,277163,27
1030425,412700,28
1030425,399768,29
1030425,210872,30
1030425,511257,31
1030425,678009,32
1030425,401447,33
1030425,63941,34
1035124,122366,0
1035124,558336,1
1035124,321643,2
1035124,82633,3
1035124,208066,4
1035124,418217,5
1035124,652613,6
1035124,444060,7
1035124,174853,8
1035124,38349,9
1035124,529410,10
1035124,396307,11
1035124,29808,12
1035124,426778,13
1035124,535014,14
1035124,18649,15
1035124,361570,16
1035124,386320,17
